condition,kind,exposure_arm,mechanism,role,replicate,plate,row,column,well,animal_id,litter_id,bone_id,bone_position,is_edge_well
ATN-161,compound,continuous,mechanotransduction,discovery compound,2,10,C,10,C10,L3A1,L3,L3A1-MT3-R,MT3-R,False
futibatinib,compound,continuous,growth factor / cytokine,ASSAY CONTROL ONLY - canonical pathway,4,10,C,11,C11,L11A7,L11,L11A7-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,D,1,D01,,,,,True
F351,compound,continuous,growth factor / cytokine,discovery compound,4,10,D,2,D02,L3A8,L3,L3A8-MT2-L,MT2-L,False
BMS-587101,compound,continuous,mechanotransduction,discovery compound,3,10,D,3,D03,L7A8,L7,L7A8-MT2-R,MT2-R,False
vehicle,VEHICLE,continuous,control,VEHICLE,5,10,D,4,D04,L12A4,L12,L12A4-MT3-R,MT3-R,False
T-0901317,compound,continuous,nuclear receptor,discovery compound,3,10,D,5,D05,L2A4,L2,L2A4-MT4-R,MT4-R,False
benzbromarone,compound,continuous,ion channel,discovery compound,1,10,D,6,D06,L10A1,L10,L10A1-MT3-R,MT3-R,False
futibatinib,compound,continuous,growth factor / cytokine,ASSAY CONTROL ONLY - canonical pathway,3,10,D,7,D07,L6A7,L6,L6A7-MT2-R,MT2-R,False
butenafine,compound,continuous,metabolic,discovery compound,4,10,D,8,D08,L9A6,L9,L9A6-MT4-L,MT4-L,False
cilastatin,compound,continuous,protease,discovery compound,6,10,D,9,D09,L10A1,L10,L10A1-MT3-L,MT3-L,False
DY131,compound,continuous,GPCR,ASSAY CONTROL ONLY - canonical pathway,4,10,D,10,D10,L10A2,L10,L10A2-MT2-L,MT2-L,False
cilastatin,compound,continuous,protease,discovery compound,1,10,D,11,D11,L1A1,L1,L1A1-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,E,1,E01,,,,,True
odanacatib,compound,continuous,protease,discovery compound,4,10,E,2,E02,L10A8,L10,L10A8-MT3-R,MT3-R,False
NAB-2,compound,continuous,ubiquitin system,discovery compound,2,10,E,3,E03,L12A2,L12,L12A2-MT3-L,MT3-L,False
cilengitide,compound,continuous,mechanotransduction,discovery compound,4,10,E,4,E04,L5A1,L5,L5A1-MT3-R,MT3-R,False
lesinurad,compound,continuous,transporter,discovery compound,6,10,E,5,E05,L11A2,L11,L11A2-MT2-R,MT2-R,False
ertugliflozin,compound,continuous,transporter,discovery compound,4,10,E,6,E06,L4A1,L4,L4A1-MT3-R,MT3-R,False
menadione,compound,continuous,phosphatase,discovery compound,1,10,E,7,E07,L13A7,L13,L13A7-MT2-L,MT2-L,False
metolazone,compound,continuous,transporter,discovery compound,3,10,E,8,E08,L5A4,L5,L5A4-MT4-R,MT4-R,False
fostamatinib,compound,continuous,kinase,discovery compound,1,10,E,9,E09,L7A6,L7,L7A6-MT3-L,MT3-L,False
acebutolol,compound,continuous,GPCR,discovery compound,3,10,E,10,E10,L12A6,L12,L12A6-MT4-L,MT4-L,False
azelnidipine,compound,continuous,ion channel,discovery compound,2,10,E,11,E11,L5A4,L5,L5A4-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,F,1,F01,,,,,True
glasdegib,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,2,10,F,2,F02,L13A1,L13,L13A1-MT3-R,MT3-R,False
encorafenib,compound,continuous,kinase,discovery compound,2,10,F,3,F03,L3A3,L3,L3A3-MT3-R,MT3-R,False
albuterol,compound,continuous,GPCR,discovery compound,6,10,F,4,F04,L12A1,L12,L12A1-MT4-R,MT4-R,False
tazemetostat,compound,continuous,epigenetic (selective probe),discovery compound,1,10,F,5,F05,L5A5,L5,L5A5-MT3-L,MT3-L,False
butenafine,compound,continuous,metabolic,discovery compound,6,10,F,6,F06,L14A7,L14,L14A7-MT2-L,MT2-L,False
DY131,compound,continuous,GPCR,ASSAY CONTROL ONLY - canonical pathway,5,10,F,7,F07,L4A5,L4,L4A5-MT3-L,MT3-L,False
hypoestoxide,compound,continuous,growth factor / cytokine,discovery compound,4,10,F,8,F08,L1A7,L1,L1A7-MT4-R,MT4-R,False
IU1,compound,continuous,ubiquitin system,discovery compound,6,10,F,9,F09,L7A3,L7,L7A3-MT4-R,MT4-R,False
retinol,compound,continuous,mechanotransduction,discovery compound,1,10,F,10,F10,L8A6,L8,L8A6-MT2-R,MT2-R,False
ketoconazole,compound,continuous,epigenetic (selective probe),discovery compound,6,10,F,11,F11,L11A7,L11,L11A7-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,G,1,G01,,,,,True
mycophenolate-mofetil,compound,continuous,phosphatase,discovery compound,2,10,G,2,G02,L6A3,L6,L6A3-MT3-R,MT3-R,False
trofinetide,compound,continuous,growth factor / cytokine,discovery compound,5,10,G,3,G03,L11A5,L11,L11A5-MT2-L,MT2-L,False
cyclovalone,compound,continuous,transporter,discovery compound,1,10,G,4,G04,L5A8,L5,L5A8-MT3-R,MT3-R,False
isoconazole,compound,continuous,epigenetic (selective probe),discovery compound,2,10,G,5,G05,L4A4,L4,L4A4-MT3-L,MT3-L,False
trofinetide,compound,continuous,growth factor / cytokine,discovery compound,6,10,G,6,G06,L13A4,L13,L13A4-MT2-L,MT2-L,False
menadione,compound,continuous,phosphatase,discovery compound,5,10,G,7,G07,L7A3,L7,L7A3-MT4-L,MT4-L,False
ambroxol,compound,continuous,ion channel,discovery compound,1,10,G,8,G08,L8A3,L8,L8A3-MT3-R,MT3-R,False
carglumic-acid,compound,continuous,metabolic,discovery compound,4,10,G,9,G09,L1A7,L1,L1A7-MT2-L,MT2-L,False
VLX600,compound,continuous,ubiquitin system,discovery compound,5,10,G,10,G10,L5A2,L5,L5A2-MT4-R,MT4-R,False
acefylline,compound,continuous,GPCR,discovery compound,2,10,G,11,G11,L1A3,L1,L1A3-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,B,1,B01,,,,,True
GS-143,compound,continuous,ubiquitin system,discovery compound,1,11,B,2,B02,L2A4,L2,L2A4-MT2-L,MT2-L,False
retinol,compound,continuous,mechanotransduction,discovery compound,4,11,B,3,B03,L9A1,L9,L9A1-MT2-R,MT2-R,False
efinaconazole,compound,continuous,epigenetic (selective probe),discovery compound,3,11,B,4,B04,L11A8,L11,L11A8-MT3-L,MT3-L,False
T-0901317,compound,continuous,nuclear receptor,discovery compound,5,11,B,5,B05,L8A7,L8,L8A7-MT2-L,MT2-L,False
butylphthalide,compound,continuous,ion channel,discovery compound,6,11,B,6,B06,L2A7,L2,L2A7-MT4-L,MT4-L,False
fumagillin,compound,continuous,protease,discovery compound,5,11,B,7,B07,L3A4,L3,L3A4-MT4-R,MT4-R,False
GW-3965,compound,continuous,nuclear receptor,discovery compound,3,11,B,8,B08,L11A2,L11,L11A2-MT2-L,MT2-L,False
antiproliferative control,CYTOTOXIC CONTROL,continuous,control,CYTOTOXIC CONTROL,1,11,B,9,B09,L14A6,L14,L14A6-MT2-R,MT2-R,False
benzbromarone,compound,continuous,ion channel,discovery compound,5,11,B,10,B10,L8A6,L8,L8A6-MT4-R,MT4-R,False
ketoconazole,compound,continuous,epigenetic (selective probe),discovery compound,2,11,B,11,B11,L11A3,L11,L11A3-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,C,1,C01,,,,,True
bepridil,compound,continuous,ion channel,discovery compound,4,11,C,2,C02,L13A2,L13,L13A2-MT3-L,MT3-L,False
futibatinib,compound,continuous,growth factor / cytokine,ASSAY CONTROL ONLY - canonical pathway,6,11,C,3,C03,L10A4,L10,L10A4-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,D,1,D01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,E,1,E01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,F,1,F01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,G,1,G01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,11,H,12,H12,,,,,True
