pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
bromebric-acid,Preclinical,DNA synthesis inhibitor|purine antagonist,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
bronopol,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
broxaldine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
broxuridine,Phase 2,antimetabolite,,other / unclassified,broad cytotoxic chemotherapeutic,antimetabolite,hard exclusion: broad cytotoxic chemotherapeutic
bruceantin,Phase 2,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
BTS,Preclinical,,,other / unclassified,,,no annotated mechanism of action
BTS-71321,Phase 2,,,other / unclassified,,,no annotated mechanism of action
bucillamine,Launched,immunosuppressant,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
budesonide,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
buserelin,Launched,gonadotropin releasing factor hormone receptor agonist,,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
butyl-paraben,Preclinical,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
BX-795,Preclinical,IKK inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
BX-912,Preclinical,pyruvate dehydrogenase kinase inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1,kinase; metabolic,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
C-751,Preclinical,,,other / unclassified,,,no annotated mechanism of action
cabagin,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
cabazitaxel,Launched,microtubule inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
cabozantinib,Launched,RET tyrosine kinase inhibitor|VEGFR inhibitor,KDR|MET|RET,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
calcium-gluceptate,Launched,,,other / unclassified,,,no annotated mechanism of action
calcium-levofolinate,Launched,,,other / unclassified,,,no annotated mechanism of action
camphor-(+),Phase 2,,,other / unclassified,,,no annotated mechanism of action
camptothecin,Phase 3,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
camylofine-chlorhydrate,Launched,,,other / unclassified,,,no annotated mechanism of action
capecitabine,Launched,DNA synthesis inhibitor|thymidylate synthase inhibitor,TYMS,metabolic,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
capobenic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
capreomycin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
caprylic-acid,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
captamine,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
captan,Phase 1,,,other / unclassified,,,no annotated mechanism of action
caracemide,Phase 2,ribonucleotide reductase inhibitor,RRM1,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
carbazochrome,Launched,,,other / unclassified,,,no annotated mechanism of action
carbendazim,Launched,microtubule inhibitor|tubulin polymerization inhibitor,TP53|TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
carbenoxolone,Launched,11-beta hydroxysteroid dehydrogenase inhibitor,GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|HSD11B1|PANX1|PANX2|PANX3,metabolic,systemic glucocorticoid manipulation,HSD11B1,hard exclusion: systemic glucocorticoid manipulation
carboplatin,Launched,DNA alkylating agent|DNA inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
carboxypyridine-disulfide,Phase 2,,,other / unclassified,,,no annotated mechanism of action
carfilzomib,Launched,proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
carmofur,Launched,thymidylate synthase inhibitor,TYMS,metabolic,broad cytotoxic chemotherapeutic,thymidylate synthase,hard exclusion: broad cytotoxic chemotherapeutic
carmustine,Launched,DNA alkylating agent|DNA inhibitor,GSR,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
carnitine-(D/L),Phase 3,,,other / unclassified,,,no annotated mechanism of action
carzenide,Preclinical,,CA1|CA12|CA14|CA2|CA6|CA9,other / unclassified,,,no annotated mechanism of action
casanthranol-variant,Launched,,,other / unclassified,,,no annotated mechanism of action
catharanthine,Preclinical,tubulin polymerization inhibitor,,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
CB-03-01,Phase 3,androgen receptor antagonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
CB-10-277,Phase 1,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
CB-839,Phase 2,glutaminase inhibitor,GLS,metabolic,,,no orderable sample (no SMILES or catalogue number)
CCT129202,Preclinical,Aurora kinase inhibitor,AURKA|AURKB|AURKC,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
CCT137690,Preclinical,Aurora kinase inhibitor,AURKA|AURKB|AURKC,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
CD-1530,Preclinical,retinoid receptor agonist,RARG,GPCR,known plate-fusion or premature-remodeling hazard,RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
CD-437,Preclinical,retinoid receptor agonist,RARG,GPCR,known plate-fusion or premature-remodeling hazard,RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
CDBA,Phase 3,,,other / unclassified,,,no annotated mechanism of action
CDK1-5-inhibitor,Preclinical,CDK inhibitor|glycogen synthase kinase inhibitor,CDK1|CDK5|GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
cediranib,Phase 3,KIT inhibitor|VEGFR inhibitor,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
cedrol,Phase 2,,,other / unclassified,,,no annotated mechanism of action
cetrimonium,Launched,,,other / unclassified,,,no annotated mechanism of action
cetrorelix,Launched,gonadotropin releasing factor hormone receptor antagonist,GNRHR|LHCGR,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
cetylpyridinium,Launched,,,other / unclassified,,,no annotated mechanism of action
cevipabulin,Phase 1,microtubule stimulant|tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
CGP-37849,Phase 1,glutamate receptor antagonist,GRIN2A|GRIN2B|GRIN2C|GRIN2D,GPCR,,,no orderable sample (no SMILES or catalogue number)
CGP-57380,Preclinical,MAP kinase inhibitor,AURKB|LCK|MKNK1|MKNK2|SGK1,kinase,Aurora inhibitor,AURKB,hard exclusion: Aurora inhibitor
CGP-60474,Preclinical,CDK inhibitor,CDK1|CDK2,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
CGP-74514,Preclinical,CDK inhibitor,CDK1,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
CH-170,Phase 1,,,other / unclassified,,,no annotated mechanism of action
chenodeoxycholic-acid,Launched,11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist,HSD11B1|NR1H4,metabolic,systemic glucocorticoid manipulation,HSD11B1,hard exclusion: systemic glucocorticoid manipulation
CHIR-98014,Preclinical,glycogen synthase kinase inhibitor,GSK3A|GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
CHIR-99021,Preclinical,glycogen synthase kinase inhibitor,CDK1|GSK3A|GSK3B|MAPK1,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
chloralose,Preclinical,,,other / unclassified,,,no annotated mechanism of action
chloramine-T,Launched,,,other / unclassified,,,no annotated mechanism of action
chloramphenicol-palmitate,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
chloramphenicol-sodium-succinate,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
chlorazanil,Preclinical,,,other / unclassified,,,no annotated mechanism of action
chlorindanol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
chlorindione,Preclinical,,,other / unclassified,,,no annotated mechanism of action
chlormadinone-acetate,Launched,5 alpha reductase inhibitor,PGR,metabolic,systemic sex-steroid manipulation,5 alpha reductase,hard exclusion: systemic sex-steroid manipulation
chlorobutanol,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
chlorophyllin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
chloroprocaine,Launched,sodium channel blocker,ATP1A1|CHRNA10|GRIN3A|HTR3A|SCN10A|SLC6A3,ion channel; transporter,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
chlorothymol,Launched,,,other / unclassified,,,no annotated mechanism of action
chlorotrianisene,Launched,estrogenic hormone,ESR1|ESR2,other / unclassified,systemic sex-steroid manipulation,ESR1; ESR2,hard exclusion: systemic sex-steroid manipulation
chloroxoquinoline,Launched,,,other / unclassified,,,no annotated mechanism of action
chlortetracycline,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
cholecalciferol,Launched,,VDR,other / unclassified,,,no annotated mechanism of action
cholesterol,Preclinical,,RORA,other / unclassified,,,no annotated mechanism of action
chrysin,Phase 1,breast cancer resistance protein inhibitor,AKR1B1|CDK6|CYP19A1|CYP1B1,other / unclassified,systemic sex-steroid manipulation,CYP19A1,hard exclusion: systemic sex-steroid manipulation
chuanxiongzine,Phase 2,,,other / unclassified,,,no annotated mechanism of action
CH55,Preclinical,retinoid receptor binder,RARA|RARB,other / unclassified,known plate-fusion or premature-remodeling hazard,RARA; RARB,hard exclusion: known plate-fusion or premature-remodeling hazard
CI-844,Phase 2,,,other / unclassified,,,no annotated mechanism of action
ciclesonide,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
ciclopirox,Launched,membrane integrity inhibitor,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
cinoctramide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
cinoxacin,Launched,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
cinoxate,Launched,,,other / unclassified,,,no annotated mechanism of action
cinromide,Phase 3,,,other / unclassified,,,no annotated mechanism of action
cintriamide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
ciprofloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
cis-aconitic-acid,Preclinical,,ACO2,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
"cis-9,trans-11-conjugated-linoleic-acid",Launched,,,other / unclassified,,,no annotated mechanism of action
cisplatin,Launched,DNA alkylating agent|DNA synthesis inhibitor,XIAP,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
CK-101,Preclinical,EGFR inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
CL-225385,Phase 2,,,other / unclassified,,,no annotated mechanism of action
cladribine,Launched,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
clindamycin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
clindamycin-phosphate,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
clobetasol-propionate,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
clobetasone-butyrate,Launched,corticosteroid agonist,NR3C1,other / unclassified,systemic glucocorticoid manipulation,corticosteroid,hard exclusion: systemic glucocorticoid manipulation
clocortolone-pivalate,Launched,steroid,NR3C1|PLA2G1B,other / unclassified,systemic glucocorticoid manipulation,NR3C1,hard exclusion: systemic glucocorticoid manipulation
clodronic-acid,Launched,bone resorption inhibitor,SLC25A4|SLC25A5|SLC25A6,transporter,,,no orderable sample (no SMILES or catalogue number)
clofarabine,Launched,ribonucleotide reductase inhibitor,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
clofoctol,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
clomifene,Launched,estrogen receptor antagonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
clonixin-lysinate,Launched,cyclooxygenase inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
clopidol,Launched,,,other / unclassified,,,no annotated mechanism of action
clotiapine,Launched,,,other / unclassified,,,no annotated mechanism of action
coenzyme-A,Launched,,ACAT2|CRAT|CS|DBI|HMGCR|KAT2A|KAT2B|KAT5,metabolic,,,no annotated mechanism of action
coenzyme-I,Phase 2,,AASS|ACADS|ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH7|AKR1B1|AKR1C1|AKR1C2|AKR1C3|AKR1C4|ALDH1A1|ALDH1A2|ALDH1A3|ALDH1B1|ALDH2|ALDH3A1|ALDH3A2|ALDH3B1|ALDH3B2|ALDH4A1|ALDH5A1|ALDH6A1|ALDH7A1|ALDH9A1|AMT|BDH1|BLVRA|BLVRB|CDO1|CYB5R3|CYP17A1|CYP4A11|DHCR7|DHFR|DLAT|DLD|EHHADH|GAPDH|GAPDHS|GLUD1|GLUD2|GPD1|GSR|H6PD|HADH|HADHA|HIBADH|HMGCR|HMOX1|HMOX2|HPGD|HSD11B1|HSD11B2|HSD17B1|HSD17B10|HSD17B2|HSD17B3|HSD17B4|HSD17B7|HSD17B8|HSD3B1|HSD3B2|IDH3A|IDH3B|IDH3G|IMPDH1|IMPDH2|LDHA|LDHAL6A|LDHAL6B|LDHB|LDHC|MDH1|MDH2|ME1|ME2|ME3|MSMO1|MT-ND1|MT-ND2|MT-ND3|MT-ND4|MT-ND4L|MT-ND5|MT-ND6|MTHFD1|MTHFD2|NDUFA1|NDUFA10|NDUFA11|NDUFA12|NDUFA13|NDUFA2|NDUFA3|NDUFA4|NDUFA4L2|NDUFA5|NDUFA6|NDUFA7|NDUFA8|NDUFA9|NDUFAB1|NDUFB1|NDUFB10|NDUFB2|NDUFB3|NDUFB4|NDUFB5|NDUFB6|NDUFB7|NDUFB8|NDUFB9|NDUFC1|NDUFC2|NDUFS1|NDUFS2|NDUFS3|NDUFS4|NDUFS5|NDUFS6|NDUFS7|NDUFS8|NDUFV1|NDUFV2|NDUFV3|NNT|NQO2|NSDHL|OGDH|PDHA1|PDHA2|PDHB|PHGDH|PYCR1|PYCR2|QDPR|RDH5|SORD|TSTA3|TYR|UGDH,metabolic,systemic glucocorticoid manipulation,HSD11B1; HSD11B2,hard exclusion: systemic glucocorticoid manipulation
coenzyme-Q10,Launched,,,other / unclassified,,,no annotated mechanism of action
COH29,Phase 1,ribonucleotide reductase inhibitor,,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
