accession	n_samples	taxon	n_age_tokens	age_tokens	title	summary
GSE160090	1	Mus musculus	0		Bi-fated tendon-to-bone attachment cells are regulated by shared enhancers and KLF transcription factors	The connection between different tissues is vital for the development and function of all organs and systems. In the musculoskeletal system, the attachment of elastic tendons to stiff bones poses a mechanical challenge that is solved by the formation of a transitional tissue, which allows the transfer of muscle forces to the skeleton without tearing. Here, we show that tendon-to-bone attachment cells are bi-fated, activating a mixture of  chondrocyte and tenocyte transcriptomes, which is regulated by sharing regulatory elements with these cells and by Krüppel-like factors transcription factors
GSE160364	6	Mus musculus	0		Comparative bulk RNAseq analysis of label-retaining chondrocytes (LRCs) of the growth plate versus their progeny	We revealed the unique molecular signature of slow-cycling chondrocytes of the postnatal growth plate.
GSE160625	12	Homo sapiens	0		Single Cell Transcriptomic Analysis of Human Pluripotent Stem Cell Chondrogenesis [scRNA-seq]	It has been notoriously challenging for researchers in the fields of stem cell biology and regenerative medicine to robustly generate uniform populations of differentiated cells from human induced pluripotent stem cells (hiPSCs). In particular, the process of iPSC chondrogenesis has been difficult to reproduce among different laboratories.  While several differentiation protocols are being developed, few, if any, yield homogenous hiPSC-derived chondrocytes without any off-target contaminating cells. To improve homogeneity of hiPSC chondrogenesis, we have developed the first application of sing
GSE160756	7	Homo sapiens	0		A Single-cell Transcriptomic Atlas of Human Intervertebral Disc	Using high-precision transcriptomics to systematically map the atlas of human intervertebral disc (IVD) at single-cell resolution. Consequently, we found remarkable cellular diversity in the human IVD and identified a set of signature markers to recognize the cell types spatially. Furthermore, we deciphered a biological classification of chondrocyte subclusters with distinct role in the ECM homeostasis.Notably, the critical clues were also discovered for progenitor cells with bi-lineage differentiation trajectories in the nucleus pulposus, which discriminatively marked by the ancestry molecule
GSE160786	36	Homo sapiens	0		Single Cell Transcriptomic Analysis of Human Pluripotent Stem Cell Chondrogenesis [bulk RNA-seq]	It has been notoriously challenging for researchers in the fields of stem cell biology and regenerative medicine to robustly generate uniform populations of differentiated cells from human induced pluripotent stem cells (hiPSCs). In particular, the process of iPSC chondrogenesis has been difficult to reproduce among different laboratories.  While several differentiation protocols are being developed, few, if any, yield homogenous hiPSC-derived chondrocytes without any off-target contaminating cells. To improve homogeneity of hiPSC chondrogenesis, we have developed the first application of sing
GSE162033	4	Mus musculus	0		Single-cell RNA-seq of long bone epiphyses from control and Sox9 mutant mice	Using a conditional inactivation approach in the mouse, we examined the importance of SOX9 in adult growth plate and articular cartilage. We specifically investigated the roles of SOX9 in the expression of the pancartilaginous, growth-plate and articular programs and in maintaining the chondrocyte lineage fate.
GSE162510	60	Homo sapiens	0		Transcriptomics analysis revealed reduction of Matrix Metallopeptidase 13 and promotion of chondrogenesis by Zeel T in primary human osteoarthritic chondrocytes	Objectives: Zeel T (Ze14) is a multicomponent medicinal product. Initial preclinical data suggested a preventive effect on cartilage degradation. This study aimed to explore these effects further to better understand the mode of action of Ze14 on human osteoarthritic (OA) chondrocytes in vitro. Methods: Primary chondrocytes were obtained from the knees of 10 OA patients and cultured in monolayers. The cultures were treated with 20 % or 10 % (v/v) Ze14 or placebo. For RNA-Seq, reads were generated with Illumina NextSeq5000 sequencer and aligned to the human reference genome (UCSC hg19). Differe
GSE163080	12	Rattus norvegicus; Mus musculus	0		Based on RNA-SEQ and experimental validation to explore the similarities and differences in catabolism and proliferation of chondrocyte inflammatory models between rats and mice.	IL-1β promotes the proliferation of rat chondrocytes and inhibits the proliferation of mouse chondrocytes.
GSE163678	1	Homo sapiens	0		Defining the activated FABP7 satellite myogenic cells in pleuropulmonary blastoma using single cell sequencing	Background: Pleuropulmonary blastoma (PPB) is a rare lung malignancy in children. Here, we classified PPB subpopulations with Single-cell RNA sequencing. Methods: This study included 10,007 single cells from a girl with PPB. After choosing malignant tumor cells with an inferring copy number variation, we used non-negative matrix factorization and Seurat analysis to cluster the cells and divided the subgroups by their differentially expressed genes and Gene Ontology enrichment analysis. Additionally, pseudotime trajectory analysis of PPB was conducted with Monocle. Results: Tumor cells were div
GSE164534	6	Mus musculus	0		RNA-seq analysis reveals differential expression profile between periostin knockout and wild-type mice	Chondrocyte transcriptome of periostin knockout and wild-type mice showed that 4 genes (Tm4sf1, Evx2, Sscaml1, and GDf10) are statistically significant with FDR <= 0.05. 1247 genes have unadjusted p-values less than 0.05, but only 12 of those have log 2 fold-changes >= |2|. The GO biological process results do show statistically significant up-regulation of cell adhesion, cell signaling, angiogenesis, and differentiation in the KO samples.
GSE164835	9	Mus musculus	0		RNA-Seq based analysis of chondroblasts subjected to general caspase inhibition revealed modulation of a spectrum of osteoarthritis related genes	Objective: The knowledge about functions of caspases, traditionally associated with cell death and inflammation, keeps expanding also regarding cartilage. Active caspases are expressed by chondrocytes within the growth plate and caspase inhibition in limb-derived chondroblasts altered osteogenesis-related genes. Caspase inhibitors were reported to reduce the severity of cartilage lesions in osteoarthritis (OA) and caspase-3 might be a promising biomarker for OA prognosis. Design: To provide an overview about impact of caspase inhibition on expression profile in chondroblasts, the whole transcr
GSE165874	20	Homo sapiens	0		Characterizing gene expression responses to biomechanical strain in an in vitro model of osteoarthritis	Osteoarthritis (OA) is a common chronic degenerative disease affecting articular cartilage and underlying bone at the joints. Genetics and biomechanical stress likely interact to contribute to OA risk, potentially by affecting gene regulation. Population-level gene expression studies of cartilage cells experiencing biomechanical stress may uncover gene-by-environment interactions relevant to OA and human joint health. To build a foundation for such studies, we applied differentiation protocols to develop an in vitro system of chondrogenic cell lines (iPSC-chondrocytes). We characterized gene r
GSE165951	6	Mus musculus	0		Loss of Foxc1 and Foxc2 function in chondroprogenitor cells disrupts endochondral ossification.	Endochondral ossification forms and grows the majority of the mammalian skeleton and is tightly controlled through gene regulatory networks. The forkhead box transcription factors Foxc1 and Foxc2 have been demonstrated to regulate aspects of osteoblast function in the formation of the skeleton but their roles in chondrocytes to control endochondral ossification are less clear. We demonstrate that Foxc1 expression is directly regulated by SOX9 activity, one of the earliest transcription factors to specify the chondrocyte lineages. Moreover we demonstrate that elevelated expression of Foxc1 prom
GSE166535	24	Homo sapiens	0		Loss of mutual protection between osteoclasts and chondrocytes in damaged joints: effects on osteoclast-mediated cartilage degradation via matrix metalloproteinases	Osteoclasts are multinucleated, bone-resorbing cells. However, they also digest cartilage during skeletal maintenance, development and in degradative conditions including osteoarthritis, rheumatoid arthritis and primary bone sarcoma. This study explores the mechanisms behind the osteoclast–cartilage interaction. Human osteoclasts differentiated on acellular human cartilage expressed osteoclast marker genes (e.g. CTSK, MMP9) and proteins (TRAP, VNR), visibly damaged the cartilage surface and released glycosaminoglycan in a contact-dependent manner. Direct co-culture with chondrocytes during dif
